Designator,Mid X,Mid Y,Layer,Rotation
A,36.47,19.05,Top,0
B,38.35,19.05,Top,0
B2,55.63,10.61,Top,0
B4,61.44,1.6,Top,0
C,40.64,19.05,Top,0
C1,40.89,3.94,Top,0
C2,48.90,12.19,Top,90
C3,33.66,11.81,Top,90
C6,29.21,16.89,Top,0
C7,29.21,17.91,Top,0
C8,29.21,18.92,Top,0
C10,63.82,14.34,Top,90
C13,56,13.55,Top,90
C15,49.96,1.07,Top,0
C16,48.01,1.07,Top,0
C17,90.23,14.61,Top,0
C18,54,4.65,Top,0
C19,53.72,10.61,Top,0
C20,90.23,6.22,Top,0
C22,60.68,6.71,Top,0
C23,58.9,4.06,Top,90
D,42.55,19.05,Top,0
D1,32.16,10.34,Top,90
D2,18.77,3.35,Top,270
E,58.24,18.6,Top,90
F,58.24,16.69,Top,90
H,61.39,18.59,Top,90
J,63.64,18.59,Top,90
K,58.04,14.21,Top,90
L1,44.45,19.05,Top,0
L2,29.21,9.53,Top,0
L3,29.21,10.57,Top,0
L4,22.61,8.1,Top,0
L5,18.41,8.1,Top,0
L6,61.75,10.07,Top,0
M,34.29,17.91,Top,0
N,34.29,19.05,Top,0
R1,50.14,18.57,Top,90
R2,32.31,17.42,Top,90
R3,31.27,17.42,Top,90
R4,33.66,14.61,Top,90
R5,18.41,6.99,Top,0
R11,24.64,8.1,Top,0
R12,20.45,8.1,Top,0
R17,13.91,17.25,Top,90
R23,89.5,11.3,Top,90
U1,41.27,11.43,Top,0
U2,60.86,15,Top,90
U3,29.9,13.97,Top,0
Y3,49.25,3.43,Top,0
